Country,ISO,Latitude,Longitude,Beach,Species,IDN,ID_MJ,MPA_NAME,COUNTRY_2,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y
Mozambique,MZ,-25.393143999999999,32.798222000000003,Manhica,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-26.170000000000002,32.560000000000002,Milibangalala,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-26.170000000000002,32.560000000000002,Milibangalala,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-25.855000000000000,32.734000000000002,Mucombo-Santa Maria,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-25.855000000000000,32.734000000000002,Mucombo-Santa Maria,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-12.409300000000000,40.601900000000001,Paquissico Tchawane Beach and Lemani Beach,Eretmochelys imbricata,"50","89",Quirimbas,Mozambique,Mozambique,National Park,Working,National,National,"2002",Multiple,MITADER and ANAC,V,,"1185",8890.89000000000,562.23300000000,40.04430000000,-12.52300000000
Mozambique,MZ,-26.782900000000001,32.885655999999997,Ponta de Ouro,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-26.782900000000001,32.885655999999997,Ponta de Ouro,Dermochelys coriacea,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-15.079910000000000,40.772854000000002,Primeiras and Segundas Islands,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-12.422704000000000,40.611289999999997,Quirimbas National Park,Chelonia mydas,"50","89",Quirimbas,Mozambique,Mozambique,National Park,Working,National,National,"2002",Multiple,MITADER and ANAC,V,,"1185",8890.89000000000,562.23300000000,40.04430000000,-12.52300000000
Mozambique,MZ,-12.422704000000000,40.611289999999997,Quirimbas National Park,Eretmochelys imbricata,"50","89",Quirimbas,Mozambique,Mozambique,National Park,Working,National,National,"2002",Multiple,MITADER and ANAC,V,,"1185",8890.89000000000,562.23300000000,40.04430000000,-12.52300000000
Mozambique,MZ,-11.000000000000000,40.689999999999998,Rongui Island and Vamizi Island,Chelonia mydas,"72","0",Vamizi Island,Mozambique,Mozambique,Marine Reserve,Working,Local,LMMA,"2006",Not described,Fishing community council with support from WWF,Undetermined,Added,"18",70.78470000000,32.78740000000,40.70770000000,-11.00140000000
