ID,OBJECTID_1,EEZ,Country,Sovereign,Remarks,Sov_ID,EEZ_ID,ISO_3digit,MRGID,Date_chang,Area_m2,Longitude,Latitude,Kulbicki,MEOW,ID_2,NA_,Lon,Lat,Management,RetentC,RetentP,RetentR,RetentT,RetentC5,RetentP5,RetentR15,RetentT15,OutflowC5,OutflowP5,OutflowR15,OutflowT15,InflowC5,InflowP5,InflowR15,InflowT15,OutDegC5,OutDegP5,OutDegR15,OutDegT15,InDegC5,InDegP5,InDegR15,InDegT15,OutflowC,OutflowP,OutflowR,OutflowT,InflowC,InflowP,InflowR,InflowT,OutDegC,OutDegP,OutDegR,OutDegT,InDegC,InDegP,InDegR,InDegT,NetflowC5,NetflowR15,NetflowP5,NetflowT15,NetflowC,NetflowR,NetflowP,NetflowT
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14248.000000000000000,V14248,40.520000000000003,-11.460000000000001,Fished,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,2.000000000000000,4.000000000000000,0.000000000000000,2314.000000000000000,1370.000000000000000,1223.000000000000000,735.000000000000000,1432.000000000000000,1626.000000000000000,225.000000000000000,132.000000000000000,68.000000000000000,33.000000000000000,110.000000000000000,36.000000000000000,55.000000000000000,38.000000000000000,67.000000000000000,23.000000000000000,1620.000000000000000,2522.000000000000000,2505.000000000000000,495.000000000000000,140.000000000000000,862.000000000000000,555.000000000000000,75.000000000000000,66.000000000000000,76.000000000000000,76.000000000000000,13.000000000000000,24.000000000000000,32.000000000000000,32.000000000000000,5.000000000000000,"0.235451148","0.689226519","-0.085447263","0.69550173","0.840909091","0.637254902","0.490543735","0.736842105"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14249.000000000000000,V14249,40.600000000000001,-11.300000000000001,Fished,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,16.000000000000000,1.000000000000000,0.000000000000000,2132.000000000000000,1498.000000000000000,1197.000000000000000,666.000000000000000,586.000000000000000,876.000000000000000,63.000000000000000,90.000000000000000,85.000000000000000,37.000000000000000,125.000000000000000,37.000000000000000,39.000000000000000,31.000000000000000,34.000000000000000,15.000000000000000,1570.000000000000000,2278.000000000000000,2295.000000000000000,660.000000000000000,45.000000000000000,930.000000000000000,575.000000000000000,90.000000000000000,79.000000000000000,68.000000000000000,68.000000000000000,17.000000000000000,8.000000000000000,35.000000000000000,35.000000000000000,5.000000000000000,"0.568800589","0.9","0.262005055","0.761904762","0.944272446","0.599303136","0.420199501","0.76"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14250.000000000000000,V14250,40.520000000000003,-11.300000000000001,Fished,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,53.000000000000000,104.000000000000000,0.000000000000000,0.000000000000000,2057.000000000000000,1440.000000000000000,1204.000000000000000,627.000000000000000,1247.000000000000000,1804.000000000000000,96.000000000000000,93.000000000000000,77.000000000000000,37.000000000000000,115.000000000000000,39.000000000000000,46.000000000000000,34.000000000000000,36.000000000000000,11.000000000000000,1395.000000000000000,2318.000000000000000,2195.000000000000000,465.000000000000000,95.000000000000000,980.000000000000000,600.000000000000000,240.000000000000000,68.000000000000000,72.000000000000000,72.000000000000000,11.000000000000000,19.000000000000000,37.000000000000000,37.000000000000000,8.000000000000000,"0.245157385","0.852307692","-0.112207152","0.741666667","0.872483221","0.570661896","0.405700424","0.319148936"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14251.000000000000000,V14251,40.680000000000000,-11.380000000000001,Fished,40.000000000000000,60.000000000000000,100.000000000000000,0.000000000000000,600.000000000000000,310.000000000000000,79.000000000000000,24.000000000000000,2314.000000000000000,1522.000000000000000,1215.000000000000000,903.000000000000000,7110.000000000000000,5068.000000000000000,2952.000000000000000,3531.000000000000000,71.000000000000000,29.000000000000000,108.000000000000000,40.000000000000000,94.000000000000000,43.000000000000000,113.000000000000000,53.000000000000000,1515.000000000000000,2184.000000000000000,2010.000000000000000,495.000000000000000,3055.000000000000000,4062.000000000000000,4055.000000000000000,1515.000000000000000,65.000000000000000,69.000000000000000,69.000000000000000,15.000000000000000,100.000000000000000,122.000000000000000,122.000000000000000,37.000000000000000,"-0.508913413","-0.416846652","-0.538088012","-0.592692828","-0.336980306","-0.337180544","-0.30067243","-0.507462687"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14252.000000000000000,V14252,40.600000000000001,-11.380000000000001,Fished,10.000000000000000,28.000000000000000,20.000000000000000,0.000000000000000,124.000000000000000,14.000000000000000,75.000000000000000,18.000000000000000,2495.000000000000000,1476.000000000000000,1222.000000000000000,780.000000000000000,2035.000000000000000,1470.000000000000000,905.000000000000000,645.000000000000000,58.000000000000000,30.000000000000000,105.000000000000000,35.000000000000000,69.000000000000000,40.000000000000000,102.000000000000000,35.000000000000000,1375.000000000000000,2150.000000000000000,2175.000000000000000,345.000000000000000,615.000000000000000,2388.000000000000000,1670.000000000000000,660.000000000000000,72.000000000000000,64.000000000000000,64.000000000000000,11.000000000000000,58.000000000000000,86.000000000000000,86.000000000000000,21.000000000000000,"0.101545254","0.149036201","0.00203666","0.094736842","0.381909548","0.131339402","-0.052446011","-0.313432836"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14253.000000000000000,V14253,40.680000000000000,-11.619999999999999,Fished,35.000000000000000,46.000000000000000,65.000000000000000,0.000000000000000,270.000000000000000,18.000000000000000,135.000000000000000,33.000000000000000,2403.000000000000000,1440.000000000000000,1251.000000000000000,861.000000000000000,4173.000000000000000,2778.000000000000000,1797.000000000000000,1839.000000000000000,65.000000000000000,28.000000000000000,104.000000000000000,42.000000000000000,75.000000000000000,42.000000000000000,97.000000000000000,44.000000000000000,1390.000000000000000,2186.000000000000000,2165.000000000000000,465.000000000000000,2290.000000000000000,3074.000000000000000,2735.000000000000000,1695.000000000000000,65.000000000000000,66.000000000000000,66.000000000000000,17.000000000000000,98.000000000000000,99.000000000000000,99.000000000000000,36.000000000000000,"-0.269160584","-0.179133858","-0.317211949","-0.362222222","-0.244565217","-0.116326531","-0.168821293","-0.569444444"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14254.000000000000000,V14254,40.600000000000001,-11.619999999999999,Fished,10.000000000000000,26.000000000000000,15.000000000000000,0.000000000000000,112.000000000000000,112.000000000000000,14.000000000000000,6.000000000000000,1270.000000000000000,916.000000000000000,790.000000000000000,429.000000000000000,2611.000000000000000,3430.000000000000000,1102.000000000000000,1332.000000000000000,98.000000000000000,25.000000000000000,124.000000000000000,38.000000000000000,107.000000000000000,60.000000000000000,135.000000000000000,60.000000000000000,1050.000000000000000,1630.000000000000000,1325.000000000000000,255.000000000000000,890.000000000000000,2114.000000000000000,1435.000000000000000,345.000000000000000,64.000000000000000,55.000000000000000,55.000000000000000,12.000000000000000,101.000000000000000,77.000000000000000,77.000000000000000,19.000000000000000,"-0.345529503","-0.164904863","-0.578462954","-0.512776831","0.082474227","-0.039855072","-0.129273504","-0.15"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14255.000000000000000,V14255,40.600000000000001,-11.539999999999999,Fished,15.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,232.000000000000000,148.000000000000000,28.000000000000000,27.000000000000000,1410.000000000000000,1006.000000000000000,842.000000000000000,540.000000000000000,681.000000000000000,634.000000000000000,425.000000000000000,1104.000000000000000,73.000000000000000,25.000000000000000,98.000000000000000,33.000000000000000,38.000000000000000,34.000000000000000,56.000000000000000,49.000000000000000,825.000000000000000,1776.000000000000000,1340.000000000000000,420.000000000000000,250.000000000000000,658.000000000000000,395.000000000000000,45.000000000000000,60.000000000000000,62.000000000000000,62.000000000000000,15.000000000000000,31.000000000000000,25.000000000000000,25.000000000000000,3.000000000000000,"0.348637016","0.329123915","0.226829268","-0.343065693","0.534883721","0.544668588","0.459326212","0.806451613"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14256.000000000000000,V14256,40.680000000000000,-11.460000000000001,Fished,95.000000000000000,44.000000000000000,60.000000000000000,75.000000000000000,213.000000000000000,20.000000000000000,61.000000000000000,9.000000000000000,2028.000000000000000,1110.000000000000000,1104.000000000000000,558.000000000000000,1868.000000000000000,1226.000000000000000,942.000000000000000,960.000000000000000,64.000000000000000,27.000000000000000,88.000000000000000,44.000000000000000,81.000000000000000,46.000000000000000,104.000000000000000,54.000000000000000,1070.000000000000000,1858.000000000000000,1495.000000000000000,765.000000000000000,915.000000000000000,2310.000000000000000,1725.000000000000000,960.000000000000000,45.000000000000000,63.000000000000000,63.000000000000000,16.000000000000000,78.000000000000000,81.000000000000000,81.000000000000000,33.000000000000000,"0.041067762","0.079178886","-0.049657534","-0.264822134","0.078085642","-0.071428571","-0.108445298","-0.113043478"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14257.000000000000000,V14257,40.520000000000003,-11.539999999999999,Fished,70.000000000000000,44.000000000000000,60.000000000000000,0.000000000000000,160.000000000000000,164.000000000000000,51.000000000000000,27.000000000000000,1962.000000000000000,1088.000000000000000,1202.000000000000000,540.000000000000000,1675.000000000000000,1066.000000000000000,1173.000000000000000,999.000000000000000,55.000000000000000,30.000000000000000,87.000000000000000,37.000000000000000,82.000000000000000,51.000000000000000,108.000000000000000,51.000000000000000,1200.000000000000000,1898.000000000000000,1595.000000000000000,585.000000000000000,930.000000000000000,1576.000000000000000,1090.000000000000000,255.000000000000000,55.000000000000000,63.000000000000000,63.000000000000000,11.000000000000000,69.000000000000000,57.000000000000000,57.000000000000000,14.000000000000000,"0.078911191","0.012210526","0.010213556","-0.298245614","0.126760563","0.188081937","0.092688543","0.392857143"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14258.000000000000000,V14258,40.600000000000001,-11.460000000000001,Fished,240.000000000000000,66.000000000000000,115.000000000000000,315.000000000000000,174.000000000000000,122.000000000000000,150.000000000000000,171.000000000000000,3033.000000000000000,2230.000000000000000,1601.000000000000000,1554.000000000000000,3221.000000000000000,1342.000000000000000,2585.000000000000000,2781.000000000000000,41.000000000000000,24.000000000000000,45.000000000000000,32.000000000000000,35.000000000000000,19.000000000000000,53.000000000000000,31.000000000000000,2015.000000000000000,1262.000000000000000,1705.000000000000000,1500.000000000000000,3880.000000000000000,3014.000000000000000,3385.000000000000000,2745.000000000000000,34.000000000000000,29.000000000000000,29.000000000000000,19.000000000000000,67.000000000000000,83.000000000000000,83.000000000000000,46.000000000000000,"-0.030060761","-0.235069279","0.248600224","-0.283044983","-0.316369805","-0.330058939","-0.409728718","-0.293286219"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14259.000000000000000,V14259,40.680000000000000,-11.060000000000000,Fished,45.000000000000000,40.000000000000000,50.000000000000000,165.000000000000000,320.000000000000000,254.000000000000000,136.000000000000000,141.000000000000000,2874.000000000000000,2236.000000000000000,1521.000000000000000,1485.000000000000000,2960.000000000000000,1734.000000000000000,2741.000000000000000,1755.000000000000000,41.000000000000000,29.000000000000000,46.000000000000000,33.000000000000000,30.000000000000000,19.000000000000000,45.000000000000000,31.000000000000000,2000.000000000000000,1346.000000000000000,1665.000000000000000,1560.000000000000000,1940.000000000000000,2126.000000000000000,2465.000000000000000,2535.000000000000000,38.000000000000000,34.000000000000000,34.000000000000000,18.000000000000000,59.000000000000000,57.000000000000000,57.000000000000000,53.000000000000000,"-0.014741172","-0.286250587","0.126448363","-0.083333333","0.015228426","-0.1937046","-0.224654378","-0.238095238"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14260.000000000000000,V14260,40.759999999999998,-10.980000000000000,Fished,10.000000000000000,40.000000000000000,50.000000000000000,0.000000000000000,22.000000000000000,0.000000000000000,10.000000000000000,0.000000000000000,2332.000000000000000,1622.000000000000000,1363.000000000000000,1107.000000000000000,1453.000000000000000,1034.000000000000000,859.000000000000000,1074.000000000000000,46.000000000000000,30.000000000000000,46.000000000000000,31.000000000000000,92.000000000000000,39.000000000000000,124.000000000000000,78.000000000000000,1680.000000000000000,1646.000000000000000,1915.000000000000000,1170.000000000000000,690.000000000000000,1902.000000000000000,1405.000000000000000,165.000000000000000,41.000000000000000,44.000000000000000,44.000000000000000,17.000000000000000,69.000000000000000,67.000000000000000,67.000000000000000,11.000000000000000,"0.232232497","0.226822682","0.221385542","0.015130674","0.417721519","0.153614458","-0.072153326","0.752808989"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14261.000000000000000,V14261,40.759999999999998,-11.060000000000000,Fished,0.000000000000000,30.000000000000000,25.000000000000000,0.000000000000000,45.000000000000000,0.000000000000000,43.000000000000000,9.000000000000000,2858.000000000000000,2204.000000000000000,1430.000000000000000,1443.000000000000000,826.000000000000000,586.000000000000000,878.000000000000000,402.000000000000000,40.000000000000000,29.000000000000000,48.000000000000000,37.000000000000000,38.000000000000000,28.000000000000000,64.000000000000000,31.000000000000000,1830.000000000000000,1418.000000000000000,1895.000000000000000,1515.000000000000000,405.000000000000000,1750.000000000000000,1225.000000000000000,135.000000000000000,33.000000000000000,33.000000000000000,33.000000000000000,17.000000000000000,45.000000000000000,63.000000000000000,63.000000000000000,9.000000000000000,"0.551574376","0.239168111","0.579928315","0.564227642","0.637583893","0.21474359","-0.10479798","0.836363636"
"41","31",Mozambican Exclusive Economic Zone,Mozambique,Mozambique,,"41","41",MOZ,8347.000000000000000,,573483948100.000000000000000,37.958534754074002,37.958534754074002,Western Indian,Western Indian Ocean,14262.000000000000000,V14262,40.600000000000001,-11.060000000000000,Fished,265.000000000000000,112.000000000000000,230.000000000000000,315.000000000000000,277.000000000000000,156.000000000000000,154.000000000000000,48.000000000000000,2618.000000000000000,1692.000000000000000,1436.000000000000000,1287.000000000000000,3790.000000000000000,2852.000000000000000,2263.000000000000000,1374.000000000000000,44.000000000000000,33.000000000000000,48.000000000000000,33.000000000000000,35.000000000000000,32.000000000000000,78.000000000000000,56.000000000000000,1770.000000000000000,1376.000000000000000,1640.000000000000000,1155.000000000000000,7980.000000000000000,5112.000000000000000,8230.000000000000000,11295.000000000000000,39.000000000000000,36.000000000000000,36.000000000000000,17.000000000000000,91.000000000000000,91.000000000000000,91.000000000000000,64.000000000000000,"-0.18289638","-0.223573939","-0.25528169","-0.032694476","-0.636923077","-0.667679838","-0.575832306","-0.814457831"
