WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,layer,path,area_m2PAs,ogc_fid,pxlval,int_area_m2,clipped_area_m2
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322547.00000000000,"1",414.2023,414.2023
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322549.00000000000,"1",101.2211,101.2211
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322540.00000000000,"1",15796.9420,15796.9420
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322541.00000000000,"1",318159.5229,318159.5229
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322542.00000000000,"1",11543.8866,11543.8866
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322594.00000000000,"1",53790.6118,53790.6118
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322587.00000000000,"1",78977.3747,78977.3747
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322590.00000000000,"1",3535.2560,3535.2560
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322583.00000000000,"1",17989066.6877,15899732.7713
555622002.000000000000000,"555622002","1",Kiunga,Kiunga,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,"1",250.000000000000000,201.978080464595990,250.000000000000000,248.964162886939022,Not Reported,0.000000000000000,Designated,"1979",Federal or national ministry or agency,State,Kenya Wildlife Service,Not Reported,State Verified,"933",Not Reported,KEN,KEN,Not Applicable,Not Applicable,WDPA_Oct2021_Public_shp-polygons,/Users/luisafontoura/Documents/Academic/OneDrive - Macquarie University/WIOMPA_RA_job/Gap Analysis MS/WDPA_Oct2021_Public_shp/WDPA_Oct2021_Public_shp_2/WDPA_Oct2021_Public_shp-polygons.shp,92271446.580,322576.00000000000,"1",15188.4835,15188.4835
