ogc_fid,pxlval,ID,OBJECTID_1,EEZ,Country,Sovereign,Remarks,Sov_ID,EEZ_ID,ISO_3digit,MRGID,Date_chang,Area_m2,Longitude,Latitude,join_aream2
533633.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,81817.6596
533634.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,3557.0888
533635.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,65806.2892
533636.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,20156.1943
533637.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,5928.2773
533638.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,1872270.6824
533639.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,121517.8725
533640.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,7705.8498
533641.00000000000,"1","29","21",Mayotte Exclusive Economic Zone,Mayotte,France,,"179","29",MYT,8335.000000000000000,,63222282200.000000000000000,45.323933129124001,45.323933129124001,61643.5498
167600.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,20004.1191
167601.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,3030.8763
167602.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,53949.2044
167603.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,67888.0041
167604.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,38186.6335
167605.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,606.1354
167606.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,605.9025
167607.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,405349.4555
167608.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,15753.2156
167609.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,3029.4576
167610.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,2423.5655
167611.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,1211.7824
