IDN,ID_MJ,MPA_NAME,COUNTRY,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y,ogc_fid,pxlval,area_m2,int_aream2_2016
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462651.00000000000,"1",2770599.5276,1055722.4054
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462626.00000000000,"1",11462.4664,11462.4664
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462653.00000000000,"1",86863.3292,41486.0482
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462627.00000000000,"1",4558528.5950,1663587.7602
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462628.00000000000,"1",3619.6299,3619.6299
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462658.00000000000,"1",4825.6600,4825.6600
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462660.00000000000,"1",2129902.3103,176129.4810
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462635.00000000000,"1",326358.5294,184066.4831
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462647.00000000000,"1",224400.7348,158135.1148
"37","234",Pepukibukwa,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",172.85800000000,75.88660000000,39.54290000000,-7.14327000000,462648.00000000000,"1",603.2235,603.2235
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462870.00000000000,"1",1204.7998,1204.7998
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462873.00000000000,"1",14457.5924,14457.5924
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462866.00000000000,"1",817471.4831,211338.4027
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462867.00000000000,"1",278312.3359,141618.2692
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462868.00000000000,"1",192769.3373,162039.2665
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462869.00000000000,"1",21084.0987,21084.0987
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462907.00000000000,"1",71080.9484,22421.2404
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462783.00000000000,"1",37352.1741,37352.1741
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462785.00000000000,"1",3012.2665,3012.2665
