"","species","pu","amount"
"317",3,13250,0.00188339487068914
"318",3,13256,0.00512403243624698
"319",3,13259,0.00845840077995908
"320",3,1326,0.00582178458274202
"321",3,13265,3.12954927068204e-05
"322",3,13279,0.0187476985967904
"323",3,13287,0.00223586464861641
"324",3,13290,0.0429627485075854
"325",3,13317,0.00106420330080669
"326",3,13322,0.0563104566146568
"327",3,13326,0.00066830550980242
"328",3,13339,0.00683971634787241
"329",3,13344,0.00380973049187753
"330",3,13347,0.0624999629759118
"331",3,13348,0.00565232796439435
"332",3,13353,0.0212377620047333
"333",3,13371,0.0200695290168079
"334",3,13374,0.0408133703840269
"335",3,13384,0.0234249104372286
"336",3,13385,0.060655068298228
"337",3,13407,0.0213805779173037
"338",3,13417,0.0292108344154304
"339",3,13442,0.00330271092624636
"340",3,13444,0.000857258297163993
"341",3,13449,0.0624009643344078
"342",3,13464,0.0406108850827057
"343",3,13478,0.0594190132784537
"344",3,13480,0.0127809632885959
"345",3,13481,0.0146073121526823
"346",3,13488,0.00395680568082142
"347",3,13491,0.0301968373422017
"348",3,13496,0.0435257112665885
"349",3,13511,0.0560120988338746
"350",3,13514,0.00155763313140172
"351",3,13525,0.00561275051947823
"352",3,13526,0.0144955269563521
"353",3,13538,0.00983625836849818
"354",3,13543,0.0311749695319682
"355",3,13566,6.53511087177321e-05
"356",3,13571,0.0619058554337949
"357",3,13573,0.00219040825592346
"358",3,13576,0.00743629043751582
"359",3,1359,0.0275090158115486
"360",3,13605,0.00430142253202159
"361",3,13614,0.0168065609568779
"362",3,13619,0.0139371852033391
"363",3,13621,0.000183895066187717
"364",3,13627,0.062500000014617
"365",3,13641,0.032622124913547
"366",3,13644,0.000420805252204649
"367",3,13645,0.00280698406928824
"368",3,13646,7.58127567830961e-05
"369",3,13666,0.00302728879238642
"370",3,13670,0.0280073684753859
"371",3,13675,0.0545216566876608
"372",3,13683,0.0120511302705279
"373",3,137,0.0130702491310158
"374",3,13716,0.0141502827968061
"375",3,13726,0.000538113707205281
"376",3,13727,0.0106331307919218
"377",3,13740,0.00271327387640363
"378",3,13742,0.00697287236130889
"379",3,13743,0.0410967340999024
"380",3,13748,0.011579268765185
"381",3,1376,0.0074633940634043
"382",3,13772,0.0343573013789216
"383",3,1381,2.4179614352528e-05
"384",3,13824,0.0585884676257923
"385",3,13825,0.0287406610445939
"386",3,13833,0.0285400019906375
"387",3,13842,0.00406684852691134
"388",3,13844,0.00280435291151051
"389",3,1385,0.0406066260613556
"390",3,13863,0.0527341964917933
"391",3,13871,0.0136511286064237
"392",3,13872,0.0605100833585394
"393",3,13873,0.0624999999981821
"394",3,13888,0.000284420206911396
"395",3,13896,0.000470295277995057
"396",3,139,0.000486526469445322
"397",3,13908,0.0464790703756847
"398",3,13912,0.000913912586271355
"399",3,13916,0.061111436120101
"400",3,13920,0.0215856408239277
"401",3,13930,0.0492017388810642
"402",3,13945,0.0042991668322878
"403",3,13946,0.00579349055802217
"404",3,13950,0.0309638898879842
"405",3,13971,0.0468076952357917
"406",3,13988,0.0624999999998286
"407",3,14035,0.0397011031311745
"408",3,14061,0.060876641733951
"409",3,14064,0.00340454734187019
"410",3,14070,0.0335635134859815
"411",3,14105,0.00103990723507246
"412",3,14111,0.000413534466427751
"413",3,14123,0.0339845099937396
"414",3,14128,0.0328601883971683
"415",3,14135,0.0593937529756416
"416",3,14139,0.00039053467870038
"417",3,14146,0.0559833801106537
"418",3,1415,0.0085411355518559
"419",3,14154,0.0208392933619177
"420",3,14156,0.0480830419228222
"421",3,14162,0.000998565683053806
"422",3,14175,0.00247479138639523
"423",3,14176,1.05507069313899e-06
"424",3,14199,9.83722521625459e-05
"425",3,14202,0.0153831365122986
"426",3,14218,0.00653406734919553
"427",3,14227,0.00175795646688296
"428",3,1423,0.0572728557872233
"429",3,14234,0.00485580803841539
"430",3,14239,0.0156295431733658
"431",3,1428,0.00456717145520399
"432",3,14280,4.95036409012973e-05
"433",3,14289,0.0109258385570012
"434",3,14303,0.00199220600224379
"435",3,14308,0.0624009749336922
"436",3,14321,0.0475745514721483
"437",3,14324,0.0109606455685104
"438",3,14348,0.0303599703386094
"439",3,14371,7.0452646411024e-05
"440",3,14373,0.0409060601619158
"441",3,14382,0.0388814512748105
"442",3,14387,0.0132699393819188
"443",3,14399,0.0120643542684327
"444",3,14415,0.0219539702466176
"445",3,14417,0.00462563407681976
"446",3,14426,0.00371298493306059
"447",3,14427,0.000198019622749183
"448",3,14429,0.00606456528217252
"449",3,14440,0.00328100463739888
"450",3,14445,0.000346535584589001
"451",3,14451,0.00925760578826349
"452",3,14456,0.0286834046856525
"453",3,1446,4.95206609433517e-05
"454",3,14480,0.0334789784745329
"455",3,14486,0.0511674366071668
"456",3,14493,0.00630062497314857
"457",3,14503,0.0165756253298868
"458",3,14510,0.000430802830378059
"459",3,1453,0.0433481862907654
"460",3,14535,0.0288649384553247
"461",3,14543,0.059374470819779
"462",3,14547,0.0108505470459382
"463",3,14553,0.00191344539793115
"464",3,14560,0.00122560043185577
"465",3,14594,0.0575944804837568
"466",3,14598,0.00022464350336208
"467",3,14600,0.00608751707423897
"468",3,14601,0.00702322031533206
"469",3,14609,0.00032178165688226
"470",3,14650,0.000244399382486008
"471",3,14651,0.0624999999995977
"472",3,14669,0.0377174653293768
"473",3,14670,0.0171303150077122
"474",3,14676,0.0625000000001192
"475",3,14680,0.0334488057132508
"476",3,14686,0.0146713090475295
"477",3,1469,0.00273259306140197
"478",3,14692,0.0301858713776954
"479",3,14707,3.43171513425186e-05
"480",3,14708,0.027498357137315
"481",3,14715,0.0121618179357736
"482",3,14724,0.0610643241262196
"483",3,14726,0.015677962950869
"484",3,14729,0.0354150701519142
"485",3,14734,0.027198094211681
"486",3,14740,0.0624009672161319
"487",3,14749,0.0529188034344278
"488",3,14752,0.0625000000012002
"489",3,14760,0.0201731992823915
"490",3,14774,0.0625000072430414
"491",3,14814,0.0104041305304844
"492",3,14815,0.00473248930715886
"493",3,14824,0.00220296573552303
"494",3,1483,0.00461066458920366
"495",3,14830,0.0592240180434763
"496",3,14842,0.0142892879300299
"497",3,14852,0.00241107183197071
"498",3,14865,0.0225318255491486
"499",3,14894,0.051153141701763
"500",3,1491,0.0267319994987373
"501",3,14910,0.021799671451163
"502",3,14929,0.0254719635242322
"503",3,14932,0.00106431237022299
"504",3,14958,0.00161327167918207
