ogc_fid,pxlval,COUNTRY,COUNTRYAFF,int_aream2
7710.00000000000,"1",MOZAMBIQUE,Mozambique,124500.031
7711.00000000000,"1",MOZAMBIQUE,Mozambique,1174.492
7712.00000000000,"1",MOZAMBIQUE,Mozambique,1174.490
7713.00000000000,"1",MOZAMBIQUE,Mozambique,587.244
7715.00000000000,"1",MOZAMBIQUE,Mozambique,587.244
7716.00000000000,"1",MOZAMBIQUE,Mozambique,587.242
7717.00000000000,"1",MOZAMBIQUE,Mozambique,3523.441
7718.00000000000,"1",MOZAMBIQUE,Mozambique,2348.957
7721.00000000000,"1",MOZAMBIQUE,Mozambique,455119.755
7722.00000000000,"1",MOZAMBIQUE,Mozambique,11744.716
7723.00000000000,"1",MOZAMBIQUE,Mozambique,3523.414
7724.00000000000,"1",MOZAMBIQUE,Mozambique,8808.532
7725.00000000000,"1",MOZAMBIQUE,Mozambique,1761.701
7726.00000000000,"1",MOZAMBIQUE,Mozambique,10570.211
7727.00000000000,"1",MOZAMBIQUE,Mozambique,5284.667
7728.00000000000,"1",MOZAMBIQUE,Mozambique,4110.627
7729.00000000000,"1",MOZAMBIQUE,Mozambique,24076.484
7730.00000000000,"1",MOZAMBIQUE,Mozambique,15097.620
7731.00000000000,"1",MOZAMBIQUE,Mozambique,11530.781
7732.00000000000,"1",MOZAMBIQUE,Mozambique,4697.816
7733.00000000000,"1",MOZAMBIQUE,Mozambique,8221.171
7735.00000000000,"1",MOZAMBIQUE,Mozambique,12918.959
7736.00000000000,"1",MOZAMBIQUE,Mozambique,32297.406
7737.00000000000,"1",MOZAMBIQUE,Mozambique,4697.788
7738.00000000000,"1",MOZAMBIQUE,Mozambique,1725.686
7739.00000000000,"1",MOZAMBIQUE,Mozambique,245782.658
7740.00000000000,"1",MOZAMBIQUE,Mozambique,61657.990
7741.00000000000,"1",MOZAMBIQUE,Mozambique,4412.138
7742.00000000000,"1",MOZAMBIQUE,Mozambique,127426.273
7743.00000000000,"1",MOZAMBIQUE,Mozambique,7107.891
7744.00000000000,"1",MOZAMBIQUE,Mozambique,3523.227
7745.00000000000,"1",MOZAMBIQUE,Mozambique,38755.779
